full ID,dam,sire
C09-1112,C08-1112~,C08-1918-
C09-1211,C08-1817-,C08-1918-
C09-1213,C08-1112~,C08-1918-
C09-1312,C08-1817-,C08-1918-
C09-1314,C08-1112~,C08-1918-
C09-1413,C08-1819-,C08-0401-
C09-1415~,C08-1819-,C08-0706-
C09-1514~,C08-0706-,C08-1819-
C09-1516,C08-0706-,C08-1312~
C09-1615~,C08-1312~,C08-0706-
C09-1617-,C08-1312~,C08-1716-
C09-1716-,C08-1716-,C08-1312~
C09-1718-,C08-1716-,C08-0302-
C09-1817-,C08-0302-,C08-1716-
C09-1819-,C08-0302-,C08-1413~
C09-1918~,C08-1413~,C08-0302-
C09-1920-,C08-1413~,C08-0305-
C09-2006-,C08-0305-,C08-0203-
C09-2019,C08-0305-,C08-1413~
C10-0102-,C09-0403-,C09-0503-
C10-0103-,C09-0403-,C09-1415~
C10-0104~,C09-0403-,C09-0809
C10-0105-,C09-0403-,C09-1615~
C10-0201-,C09-0503-,C09-0403-
C10-0203-,C09-0503-,C09-1415~
C10-0204-,C09-0503-,C09-0809
C10-0205-,C09-0503-,C09-1615~
C10-0301,C09-1415~,C09-0403-
C10-0302-,C09-1415~,C09-0503-
C10-0304-,C09-1415~,C09-0809
C10-0305-,C09-1415~,C09-1615~
C10-0401-,C09-0809,C09-0403-
C10-0402-,C09-0809,C09-0503-
C10-0403-,C09-0809,C09-1415~
C10-0405-,C09-0809,C09-1615~
C10-0501~,C09-1615~,C09-0403-
C10-0502-,C09-1615~,C09-0503-
C10-0503~,C09-1615~,C09-1415~
C10-0504,C09-1615~,C09-0809
C10-0607,C09-0620-,C09-0203-
C10-0620-,C09-0620-,C09-1110-
C10-0706-,C09-0203-,C09-0620-
C10-0708,C09-0203-,C09-0302-
C10-0807,C09-0302-,C09-0203-
C10-0809,C09-0302-,C09-0908-
C10-0908~,C09-0908-,C09-0302-
C10-0910-,C09-0908-,C09-0304-
C10-1009-,C09-0304-,C09-0908-
C10-1011,C09-0304-,C09-1716-
C10-1110~,C09-1716-,C09-0304-
C10-1112,C09-1716-,C09-2006-
C10-1211,C09-2006-,C09-1716-
C10-1213,C09-2006-,C09-1817-
C10-1312-,C09-1817-,C09-2006-
C10-1314-,C09-1817-,C09-0402-
C10-1413-,C09-0402-,C09-1817-
C10-1415-,C09-0402-,C09-1918~
C10-1514-,C09-1918~,C09-0402-
C10-1516-,C09-1918~,C09-0501-
C10-1615-,C09-0501-,C09-1918~
C10-1617-,C09-0501-,C09-0607-
C10-1716-,C09-0607-,C09-0501-
C10-1718-,C09-0607-,C09-0708~
C10-1817-,C09-0708~,C09-0607-
C10-1819-,C09-0708~,C09-0305-
C10-1918-,C09-0305-,C09-0708~
C10-1920-,C09-0305-,C09-1110-
C10-2006~,C09-1110-,C09-0620-
C10-2019-,C09-1110-,C09-0305-
C11-0102,C10-0706-,C10-0620-
C11-0103-,C10-0706-,C10-1514-
C11-0104-,C10-0706-,C10-1817-
C11-0105-,C10-0706-,C10-0501~
C11-0201-,C10-0620-,C10-0706-
C11-0203~,C10-0620-,C10-1514-
C11-0204~,C10-0620-,C10-1817-
C11-0205-,C10-0620-,C10-0501~
C11-0301,C10-1514-,C10-0706-
C11-0302,C10-1514-,C10-0620-
C11-0304-,C10-1514-,C10-1817-
C11-0305~,C10-1514-,C10-0501~
C11-0401,C10-1817-,C10-0706-
C11-0402~,C10-1817-,C10-0620-
C11-0403,C10-1817-,C10-1514-
C11-0405-,C10-1817-,C10-0501~
C11-0501,C10-0501~,C10-0706-
C11-0502,C10-0501~,C10-0620-
C11-0503-,C10-0501~,C10-1514-
C11-0504-,C10-0501~,C10-1817-
C11-0607-,C10-0908~,C10-1718-
C11-0620~,C10-0908~,C10-2006~
C11-0706-,C10-1718-,C10-0908~
C11-0708-,C10-1718-,C10-1918-
C11-0807,C10-1918-,C10-1718-
C11-0809,C10-1918-,C10-0105-
C11-0908-,C10-0105-,C10-1918-
